"","c(NA_integer_, NA_integer_, NA_integer_, NA_integer_, NA_integer_, ","c(NA_integer_, NA_integer_, NA_integer_, NA_integer_, NA_integer_, ","Substrate","treatment","rep","NH4+ (µmol g-1 DW)","sqNH4+ (µmol g-1 DW)","NO3- (µmol g-1 DW)","sqNO3- (µmol g-1 DW)","NPOC (µmol g-1 DW)","sqNPOC (µmol g-1 DW)","TN (µmol g-1 DW)","sqTN (µmol g-1 DW)","C mic (µmol g-1 DW)","sqC mic (µmol g-1 DW)","N mic (µmol g-1 DW)","sqN mic (µmol g-1 DW)","structure(c(NA_real_, NA_real_, NA_real_, NA_real_, NA_real_, ","C/N mic","sqC/N mic","Exoglucan (pmol g-1 min-1)","sqExoglucan (pmol g-1 min-1)","Endochit (pmol g-1 min-1)","structure(c(NA_real_, NA_real_, NA_real_, NA_real_, NA_real_, ","sqEndochit (pmol g-1 min-1)","structure(c(NA_real_, NA_real_, NA_real_, NA_real_, NA_real_, ","Phosph (pmol g-1 min-1)","sqPhosph (pmol g-1 min-1)","Protease (nmol g-1 min-1)","sqProtease (nmol g-1 min-1)","phenoloxidase (µmol h-1 g-1 DW)","sqphenoloxidase (µmol h-1 g-1 DW)","peroxidase","sqperoxidase","Cellulase-act (µg gluc g-1 DW h-1)","sqCellulase-act (µg gluc g-1 DW h-1)","Protease-act (µg AS-N g-1 DW h-1)","sqProtease-act (µg AS-N g-1 DW h-1)","Bruttomineralisierung (µg NH4-N g-1 h-1)","sqBruttomineralisierung (µg NH4-N g-1 h-1)","Immobilisierung","sqImmobilisierung","Respiration","sqRespiration","Total bacteria(nmol %contr)","sqTotal bacteria(nmol %contr)","Gram+ bac","sqGram+ bac","Gram- bac","sqGram- bac","Fungi","sqFungi","0.751388889","sq0.751388888888889","Total bacteria(mol% in %kontr.)","sqTotal bacteria(mol% in %kontr.)","Gram+ bac","sqGram+ bac","Gram- bac","sqGram- bac","Fungi","sqFungi","0.751388889","sq0.751388888888889","APE13Cplfa","sqAPE13Cplfa","APE 13C total respiration","sqAPE 13C total respiration","Respired excess 13C (% of Microbial Biomass excess 13C)","sqRespired excess 13C (% of Microbial Biomass excess 13C)","Priming effect (% of control)"
"mk",NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,TRUE,FALSE,TRUE,FALSE,TRUE,NA,FALSE,NA,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"ml",NA,NA,NA,NA,NA,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,TRUE,FALSE,TRUE,FALSE,TRUE,NA,FALSE,NA,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"pg",NA,NA,NA,NA,NA,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,NA,FALSE,FALSE,TRUE,FALSE,TRUE,NA,FALSE,NA,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"ph",NA,NA,NA,NA,NA,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,NA,TRUE,FALSE,FALSE,FALSE,TRUE,NA,FALSE,NA,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"pk",NA,NA,NA,NA,NA,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,NA,TRUE,FALSE,TRUE,FALSE,TRUE,NA,FALSE,NA,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"pl",NA,NA,NA,NA,NA,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,NA,TRUE,FALSE,TRUE,FALSE,TRUE,NA,FALSE,NA,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"wg",NA,NA,NA,NA,NA,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,NA,TRUE,FALSE,TRUE,FALSE,TRUE,NA,FALSE,NA,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"wh",NA,NA,NA,NA,NA,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,NA,FALSE,FALSE,TRUE,FALSE,FALSE,NA,FALSE,NA,TRUE,FALSE,TRUE,FALSE,NA,NA,NA,NA,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"wk",NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,TRUE,FALSE,TRUE,FALSE,TRUE,NA,FALSE,NA,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"wl",NA,NA,NA,NA,NA,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,NA,FALSE,FALSE,TRUE,FALSE,FALSE,NA,FALSE,NA,TRUE,FALSE,TRUE,FALSE,NA,NA,NA,NA,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
